time,Cache:adminBytes,Cache:avgBatchCACHEMODE,Cache:avgBatchCRITICAL,Cache:avgBatchDAEMON,Cache:avgBatchEVICTORTHREAD,Cache:avgBatchMANUAL,Cache:cacheTotalBytes,Cache:dataAdminBytes,Cache:dataBytes,Cache:lockBytes,Cache:nBINsEvictedCACHEMODE,Cache:nBINsEvictedCRITICAL,Cache:nBINsEvictedDAEMON,Cache:nBINsEvictedEVICTORTHREAD,Cache:nBINsEvictedMANUAL,Cache:nBINsFetch,Cache:nBINsFetchMiss,Cache:nBINsStripped,Cache:nBatchesCACHEMODE,Cache:nBatchesCRITICAL,Cache:nBatchesDAEMON,Cache:nBatchesEVICTORTHREAD,Cache:nBatchesMANUAL,Cache:nCachedBINs,Cache:nCachedUpperINs,Cache:nEvictPasses,Cache:nINCompactKey,Cache:nINNoTarget,Cache:nINSparseTarget,Cache:nLNsFetch,Cache:nLNsFetchMiss,Cache:nNodesEvicted,Cache:nNodesScanned,Cache:nNodesSelected,Cache:nRootNodesEvicted,Cache:nSharedCacheEnvironments,Cache:nThreadUnavailable,Cache:nUpperINsEvictedCACHEMODE,Cache:nUpperINsEvictedCRITICAL,Cache:nUpperINsEvictedDAEMON,Cache:nUpperINsEvictedEVICTORTHREAD,Cache:nUpperINsEvictedMANUAL,Cache:nUpperINsFetch,Cache:nUpperINsFetchMiss,Cache:requiredEvictBytes,Cache:sharedCacheTotalBytes,Checkpoints:lastCheckpointEnd,Checkpoints:lastCheckpointId,Checkpoints:lastCheckpointStart,Checkpoints:nCheckpoints,Checkpoints:nDeltaINFlush,Checkpoints:nFullBINFlush,Checkpoints:nFullINFlush,Cleaning:cleanerBackLog,Cleaning:fileDeletionBacklog,Cleaning:lnSizeCorrectionFactor,Cleaning:nBINDeltasCleaned,Cleaning:nBINDeltasDead,Cleaning:nBINDeltasMigrated,Cleaning:nBINDeltasObsolete,Cleaning:nCleanerDeletions,Cleaning:nCleanerEntriesRead,Cleaning:nCleanerProbeRuns,Cleaning:nCleanerRuns,Cleaning:nClusterLNsProcessed,Cleaning:nINsCleaned,Cleaning:nINsDead,Cleaning:nINsMigrated,Cleaning:nINsObsolete,Cleaning:nLNQueueHits,Cleaning:nLNsCleaned,Cleaning:nLNsDead,Cleaning:nLNsLocked,Cleaning:nLNsMarked,Cleaning:nLNsMigrated,Cleaning:nLNsObsolete,Cleaning:nMarkLNsProcessed,Cleaning:nPendingLNsLocked,Cleaning:nPendingLNsProcessed,Cleaning:nRepeatIteratorReads,Cleaning:nToBeCleanedLNsProcessed,Cleaning:pendingLNQueueSize,Cleaning:totalLogSize,Environment:btreeRelatchesRequired,Environment:environmentCreationTime,I/O:bufferBytes,I/O:endOfLog,I/O:nBytesReadFromWriteQueue,I/O:nBytesWrittenFromWriteQueue,I/O:nCacheMiss,I/O:nFSyncRequests,I/O:nFSyncTime,I/O:nFSyncs,I/O:nFileOpens,I/O:nGroupCommitRequests,I/O:nGroupCommitWaits,I/O:nGrpCommitTimeouts,I/O:nLogBuffers,I/O:nLogFSyncs,I/O:nLogIntervalExceeded,I/O:nLogMaxGroupCommitThreshold,I/O:nNotResident,I/O:nOpenFiles,I/O:nRandomReadBytes,I/O:nRandomReads,I/O:nRandomWriteBytes,I/O:nRandomWrites,I/O:nReadsFromWriteQueue,I/O:nRepeatFaultReads,I/O:nSequentialReadBytes,I/O:nSequentialReads,I/O:nSequentialWriteBytes,I/O:nSequentialWrites,I/O:nTempBufferWrites,I/O:nWriteQueueOverflow,I/O:nWriteQueueOverflowFailures,I/O:nWritesFromWriteQueue,Jvm:G1 Old Generation.count,Jvm:G1 Old Generation.time,Jvm:G1 Young Generation.count,Jvm:G1 Young Generation.time,Jvm:heap,Jvm:loadAverage,Locks:nLatchAcquireNoWaitUnsuccessful,Locks:nLatchAcquiresNoWaitSuccessful,Locks:nLatchAcquiresNoWaiters,Locks:nLatchAcquiresSelfOwned,Locks:nLatchAcquiresWithContention,Locks:nLatchReleases,Locks:nRequests,Locks:nWaits,Node Compression:cursorsBins,Node Compression:dbClosedBins,Node Compression:inCompQueueSize,Node Compression:nonEmptyBins,Node Compression:processedBins,Node Compression:splitBins,Op:cursorDelete,Op:cursorGetCurrent,Op:cursorGetFirst,Op:cursorGetLast,Op:cursorGetNext,Op:cursorGetNextDup,Op:cursorGetNextNoDup,Op:cursorGetPrev,Op:cursorGetPrevDup,Op:cursorGetPrevNoDup,Op:cursorPut,Op:cursorPutCurrent,Op:cursorPutNoDupData,Op:cursorPutNoOverwrite,Op:dbDelete,Op:dbGet,Op:dbGetSearchBoth,Op:dbPut,Op:dbPutNoDupData,Op:dbPutNoOverWrite,Op:dbRemoveSequence,Op:dosCursorGetNext,Op:secondaryCursorDelete,Op:secondaryCursorGetCurrent,Op:secondaryCursorGetFirst,Op:secondaryCursorGetLast,Op:secondaryCursorGetNext,Op:secondaryCursorGetNextDup,Op:secondaryCursorGetNextNoDup,Op:secondaryCursorGetPrev,Op:secondaryCursorGetPrevDup,Op:secondaryCursorGetPrevNoDup,Op:secondaryDbDelete,Op:secondaryDbGet,Op:secondaryDbGetSearchBoth
2021-10-16T01:12:24Z,161,0,0,0,0,0,3163825,1248,17936,0,0,0,0,0,0,4,0,0,0,0,0,0,0,3,3,0,0,1,5,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,943,1,369,1,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1634346744191,3145728,0,0,0,0,2,17,2,2,2,0,0,3,3,0,0,0,0,0,0,38,1,0,0,2048,1,954,2,0,0,0,0,0,0,7,81,76108208,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-10-16T01:13:24Z,161,0,0,0,0,0,19377436,1467,16231547,0,0,0,0,0,0,263003,0,0,0,0,0,0,0,676,12,0,21,1,7,97240,0,0,0,0,0, ,0,0,0,0,0,0,172273,0,0,0,943,1,369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1634346744191,3145728,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107,262,198903328,3,0,0,0,0,0,0,0,0,0,0,1,0,3,0,401,0,24,0,802,0,0,0,0,0,0,0,0,0,0,195962,0,66302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-10-16T01:15:54Z,161,0,0,0,0,0,3160169,1248,14280,0,0,0,0,0,0,12,3,0,0,0,0,0,2,3,3,0,2,1,5,8,3,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,943,1,369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1634346953841,3145728,0,0,0,10,0,0,0,2,0,0,0,3,0,0,0,10,0,2048,1,0,0,0,0,79872,18,0,0,0,0,0,0,0,0,7,71,78017536,1,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-10-16T01:16:54Z,2060,0,0,0,0,0,5725433,2401,2576913,732,0,0,0,0,0,40549,0,0,0,0,0,0,0,123,7,0,37,1,6,15009,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,943,1,369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1634346953841,3145728,0,0,9889,0,10401,55713,10359,2,10401,0,0,3,10359,0,0,0,0,0,0,0,0,0,0,4096,2,3024389,9989,0,0,0,47,0,0,29,173,108067920,1,0,0,0,0,0,0,41277,0,0,0,1,0,2,0,244,0,17,0,402,0,0,0,0,0,0,0,0,0,0,29975,0,10349,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-10-16T01:17:54Z,3920,0,0,0,0,0,8436001,2401,5285513,840,0,0,0,0,0,44204,0,0,0,0,0,0,0,246,7,0,83,1,6,16586,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,943,1,369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1634346953841,3145728,0,0,18998,0,10982,58024,10937,0,10982,0,0,3,10937,0,0,0,0,0,0,0,0,0,0,0,0,3535658,10429,0,0,0,75,0,0,26,89,135700216,1,0,0,0,0,0,0,44269,0,0,0,2,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33073,0,10933,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-10-16T01:18:54Z,6284,0,0,0,0,0,11209717,2897,8056865,840,0,0,0,0,0,46139,0,0,0,0,0,0,0,375,11,0,127,1,9,17684,0,0,0,0,0, ,0,0,0,0,0,0,39285,0,0,0,943,1,369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1634346953841,3145728,0,0,33706,0,11229,57864,11185,2,11229,0,0,3,11186,0,0,0,0,0,0,38,1,0,0,2048,1,3613694,10431,0,0,0,127,0,0,31,116,162214424,1,0,0,0,0,0,0,46701,0,0,0,2,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34746,0,11177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-10-16T01:19:54Z,8144,0,0,0,0,0,14001177,2897,10846465,840,0,0,0,0,0,43142,0,0,0,0,0,0,0,509,13,0,177,1,9,15158,0,0,0,0,0, ,0,0,0,0,0,0,42930,0,0,0,943,1,369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1634346953841,3145728,0,0,35997,0,11459,57684,11416,0,11459,0,0,3,11416,0,0,0,0,0,0,0,0,0,0,0,0,3760271,10471,0,0,0,140,0,0,33,125,121775800,1,0,0,0,0,0,0,41933,0,0,0,3,0,0,0,94,0,2,0,100,0,0,0,0,0,0,0,0,0,0,31517,0,11414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-10-16T01:20:54Z,3959,0,0,0,0,0,16567936,3145,13417409,840,0,0,0,0,0,39269,0,0,0,0,0,0,0,634,15,0,226,3,9,12961,0,0,0,0,0, ,0,0,0,0,0,0,38967,0,0,0,943,1,369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1634346953841,3145728,0,0,38355,0,11062,58141,11025,0,11062,0,0,3,11025,0,0,0,0,0,0,0,0,0,0,0,0,3365816,10068,0,0,0,149,0,0,32,135,163547360,2,0,0,0,0,0,0,37146,0,0,0,3,0,2,0,186,0,6,0,300,0,0,0,0,0,0,0,0,0,0,28026,0,11023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-10-16T12:59:28Z,483,0,0,0,0,0,3854580,4013,708261,108,0,0,0,0,0,3523,67,0,0,0,0,0,1720,67,12,0,20,9,65,1806,10,0,0,0,0, ,0,0,0,0,0,0,1788,5,0,0,8592512106,3,8592392670,1,46,11,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,1634389167933,3145728,0,0,0,101,1,10,1,7,1,0,0,3,2,0,0,101,1,316416,65,119557,1,0,53,22567181,2095,0,0,0,0,0,0,0,0,8,97,105330176,0,0,0,0,0,0,0,3604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-10-16T13:06:18Z,483,0,0,0,0,0,3595620,4013,449301,140,0,0,0,0,0,2376,39,0,0,0,0,0,1157,41,13,0,18,5,45,1219,10,0,0,0,0, ,0,0,0,0,0,0,868,6,0,0,8592874157,4,8592799252,1,25,10,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,1634389578309,3145728,0,0,0,77,1,14,1,7,1,0,0,3,2,0,0,77,1,165888,44,79845,1,0,31,6125078,613,0,0,0,0,0,0,0,0,7,92,88915968,1,0,0,0,0,0,0,2493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
